Date,Year,IPO_Name,Issue_Size_Cr,Subscription_Times,Issue_Price,Listing_Open,Listing_Close,Listing_Gain_Pct,Current_Gain_Pct,Status
2010-10-18,2010,Commercial Eng,172.41,2.07,127.0,122.8,112.25,-11.61,-70.28,Loser
2010-10-14,2010,Sea TV Network,50.2,9.58,100.0,120.0,106.0,6.0,-98.02,Winner
2010-10-14,2010,Bedmutha Ind,91.8,7.69,102.0,114.4,180.8,77.25,-59.02,Winner
2010-10-14,2010,Ashoka Buildcon,225.0,15.94,324.0,333.55,73.33,-77.37,-66.84,Loser
2010-10-13,2010,Va Tech Wabag,472.6,36.22,1310.0,1655.0,341.88,-73.9,-71.76,Loser
2010-10-12,2010,Cantabil Retail,105.0,2.35,135.0,133.8,104.75,-22.41,197.48,Loser
2010-10-12,2010,Tecpro Systems,268.03,24.47,355.0,399.4,407.85,14.89,-98.72,Winner
2010-10-08,2010,Electrosteel St,0.0,8.23,11.0,11.15,11.25,2.27,182.27,Winner
2010-10-08,2010,Orient Green,900.0,1.07,47.0,45.7,44.9,-4.47,-92.7,Loser
2010-10-08,2010,Ramky Infra,530.0,2.89,450.0,450.0,387.35,-13.92,-60.46,Loser
2010-10-06,2010,Eros Intl,350.0,26.51,175.0,213.55,190.05,8.6,-85.83,Winner
2010-10-06,2010,Career Point,115.0,47.39,310.0,461.0,632.35,103.98,-43.61,Winner
2010-10-05,2010,Sasta Sundar,147.5,12.2,118.0,135.1,110.9,-6.02,171.65,Loser
2010-10-01,2010,Tirupati Inks,51.5,8.77,43.0,53.95,36.65,-14.77,-96.3,Loser
2010-09-29,2010,Indosolar,357.0,1.55,29.0,29.75,23.7,-18.28,-89.86,Loser
2010-09-09,2010,Gujarat Pipavav,500.0,19.94,46.0,56.25,54.05,17.5,140.87,Winner
2010-08-25,2010,Prakash Steelag,68.75,4.53,110.0,118.55,18.8,-82.91,-98.57,Loser
2010-08-18,2010,Bajaj Consumer ,297.0,19.29,660.0,730.0,151.65,-77.02,-56.82,Loser
2010-08-16,2010,Bharat Fin,1653.97,13.69,985.0,1036.0,1088.58,10.52,-8.81,Winner
2010-07-28,2010,Shri Aster,53.1,4.47,118.0,127.7,199.1,68.73,-98.92,Winner
2010-07-21,2010,Hindustan Media,270.0,5.43,166.0,177.95,189.2,13.98,-47.47,Winner
2010-07-16,2010,Technofab Engg,71.76,12.78,240.0,265.0,295.65,23.19,-97.15,Winner
2010-07-01,2010,Parabolic Drugs,200.0,1.04,75.0,76.0,64.8,-13.6,-92.4,Loser
2010-05-21,2010,Jaypee Infra,1650.0,1.24,102.0,98.0,91.3,-10.49,-97.88,Loser
2010-05-20,2010,SJVN,1079.0,6.64,26.0,27.1,25.05,-3.65,4.81,Loser
2010-05-19,2010,GB Global,107.9,6.32,130.0,131.0,133.65,2.81,-92.46,Winner
2010-05-18,2010,Tarapur Trans,63.75,1.74,75.0,75.0,56.9,-24.13,-92.92,Loser
2010-05-13,2010,NEL HOLDINGS SO,405.0,1.16,54.0,50.0,50.95,-5.65,-95.22,Loser
2010-05-10,2010,Talwalkars Fitn,77.44,28.39,128.0,138.0,162.6,27.03,-98.87,Winner
2010-04-16,2010,Goenka Diamond,145.0,1.07,135.0,130.0,12.79,-90.53,-99.07,Loser
2010-04-12,2010,Intrasoft Tech,53.65,18.95,145.0,140.0,159.35,9.9,-21.0,Winner
2010-04-09,2010,Shree Ganesh,385.29,1.96,260.0,258.85,163.25,-37.21,-99.68,Loser
2010-04-06,2010,Persistent,168.01,93.6,310.0,400.0,204.0,-34.19,910.0,Loser
2010-04-05,2010,Pradip Overseas,116.6,14.08,110.0,120.0,89.29,-18.83,-98.91,Loser
2010-03-30,2010,ILandFS Trans,700.0,33.42,258.0,287.0,253.68,-1.67,-97.9,Loser
2010-03-29,2010,DQ Entertain,128.38,86.33,80.0,135.0,108.55,35.69,-98.86,Winner
2010-03-18,2010,United Bank,330.0,33.38,66.0,77.0,68.8,4.24,-93.21,Winner
2010-03-11,2010,Man Infra,142.0,62.53,252.0,335.0,69.65,-72.36,-74.17,Loser
2010-03-10,2010,Texmo Pipes,45.0,7.48,90.0,92.8,137.25,52.5,-39.78,Winner
2010-03-03,2010,ARSS Infra,103.0,47.62,450.0,640.0,736.3,63.62,-93.0,Winner
2010-02-25,2010,Hathway Cable,735.4,1.36,240.0,246.0,41.56,-82.68,-89.15,Loser
2010-02-24,2010,DB Realty,1500.0,0.85,468.0,452.1,455.4,-2.69,-94.53,Loser
2010-02-24,2010,Emmbi Ind,43.08,1.2,45.0,46.0,28.65,-36.33,152.89,Loser
2010-02-23,2010,Aqua Logistics,150.0,1.94,220.0,225.0,24.46,-88.88,-99.36,Loser
